event_id,timestamp,event_type,user_id,status,latency_ms
928,2026-01-15 21:39:53,checkout,user_123,error,316
631,2026-01-15 19:35:45,purchase,user_253,ok,1652
683,2026-01-15 01:07:47,purchase,user_154,error,1543
515,2026-01-15 10:26:46,view,user_257,error,733
366,2026-01-15 20:11:32,checkout,user_925,error,588
656,2026-01-15 15:36:19,purchase,user_771,timeout,1255
657,2026-01-15 04:56:26,checkout,user_412,error,N/A
530,2026-01-15 03:05:14,view,user_951,ok,207
322,2026-01-15 22:33:03,purchase,user_304,error,663
71,2026-01-15 05:55:19,view,user_883,error,787
892,2026-01-15 02:57:21,login,user_914,timeout,958
372,2026-01-15 03:53:49,login,user_356,error,1893
768,2026-01-15 12:55:07,login,user_567,timeout,774
457,2026-01-15 23:21:20,login,user_919,timeout,455
248,2026-01-15 03:34:59,checkout,user_595,ok,1566
612,2026-01-15 14:50:24,,user_682,ok,375
706,2026-01-15 00:56:05,,user_934,,577
981,2026-01-15 20:01:42,view,user_661,ok,1913
299,2026-01-15 11:25:04,checkout,user_932,error,1642
102,2026-01-15 23:51:49,login,user_694,error,302
962,2026-01-15 10:07:38,login,user_576,error,992
606,2026-01-15 08:25:11,login,user_258,ok,620
214,2026-01-15 00:15:42,view,user_195,timeout,1272
238,2026-01-15 03:31:44,view,user_518,ok,962
594,2026-01-15 09:59:52,purchase,user_563,error,643
282,2026-01-15 13:47:52,login,user_461,ok,335
378,2026-01-15 07:40:07,checkout,user_862,error,1281
287,2026-01-15 10:23:08,checkout,user_843,timeout,900
389,2026-01-15 15:25:18,login,user_599,ok,70
885,2026-01-15 02:11:34,checkout,user_933,error,249
718,2026-01-15 21:51:37,login,user_768,timeout,1243
794,2026-01-15 11:08:55,login,user_560,,498
97,2026-01-15 02:24:35,view,user_869,ok,1259
245,2026-01-15 01:58:20,view,user_523,ok,94
747,2026-01-15 16:55:31,checkout,user_288,ok,1884
77,2026-01-15 02:35:58,purchase,user_658,ok,1804
899,2026-01-15 00:05:50,login,user_901,ok,396
210,2026-01-15 20:10:03,purchase,user_281,error,868
260,2026-01-15 06:40:50,view,user_498,ok,805
159,2026-01-15 18:29:00,view,user_633,timeout,1361
